site_id,Latitude,Longitude,City Name,City and Road Name,Cluster,RSM_Base_City,Division,Distributor,Site Class,RAM_Base_City,Existing/Planned,Scope,Vendor,Rollout Phase Final,City Type,Clutter,Pop_per_Site,Population of the area,Tx_Dependency,State,Zone,Woreda,Town/Road Site Type,Last Achieved Milestone
710047,6.298375,36.874674,Sawla,Sawla,Sawla,Sodo,South,Horn afrik communications and Trading PLC,Class D,Sodo,Planned,Colo,Nokia,PH3,Small City,Rural,17468,61037,7,SNNP,Gofa,Sawla town,Town,MS 11.2 TI Started
406015,9.81616,38.5696,A3-1,Degem Hamiso to Ali Doro,Fiche Commando,Fiche,North West,Vanguard Communication Main dealer,Class E,Fiche,Planned,FTK,Huawei,PH1,A Road,Rural,15334,15334,1,Oromia,North Shewa (OR),Degem,Road,MS 11.3 TI Completed
710070,6.468,36.5805,Laha,Leha,Leha,Sodo,South,Horn afrik communications and Trading PLC,Class D,Sodo,Planned,FTK,Nokia,PH3,Additional Town,Rural,37964,37964,1,SNNP,Gofa,Melekoza,Town,MS 9.2.3 Foundation Completed
409128,9.028506,40.74763,K'ore,Kore (Chiro Zuriya),Chiro 1,Chiro,East 1,Modern Tech Technologies PLC,Class E,Chiro,Planned,FTK,Huawei,PH1,Rural,Rural,8120,8120,1,Oromia,West Hararge,Mesela,Road,MS 9.6 CW Completed
407141,8.46647,39.45032,Bofa,Bofa,Adama Welenchiti,Adama,Central,Modern Tech Technologies PLC,Class E,Adama,Planned,FTK,Nokia,PH2,Village,Rural,20466,4219,1,Oromia,East Shewa,Boset,Town,MS 9.6 CW Completed
710051,6.307962,36.886093,Sawla,Sawla,Sawla,Sodo,South,Horn afrik communications and Trading PLC,Class D,Sodo,Planned,Colo,Nokia,PH3,Small City,Rural,14483,61037,1,SNNP,Gofa,Sawla town,Town,MS 13.5 Site On Air
405154,9.11962,37.0597,Bako,Baco,Baco,Ambo,West,Blue spark Technology,Class D,Ambo,Planned,FTK,Huawei,PH3,Small City,Sub Urban,16283,34088,20,Oromia,West Shewa,Bako Tibe,,MS 9.5.1 RFI Notification Received
405170,9.11552,37.06648,Bako,Baco,Baco,Ambo,West,Blue spark Technology,Class D,Ambo,Planned,FTK,Huawei,PH3,Small City,Sub Urban,7828,34088,1,Oromia,West Shewa,Bako Tibe,,MS 4.3.3 Construction Permit Received
405159,9.12139,37.0692,Bako,Baco,Baco,Ambo,West,Blue spark Technology,Class D,Ambo,Planned,FTK,Huawei,PH2,Small City,Sub Urban,2462,34088,1,Oromia,West Shewa,Bako Tibe,,MS 9.3.3 Tower Erection Completed
405021,9.01183,37.4497,Gedo,Gedo,Ejaji,Ambo,West,Blue spark Technology,Class D,Ambo,Planned,FTK,Huawei,PH2,Additional Town,Sub Urban,19601,24651,13,Oromia,West Shewa,Cheliya,,MS 9.1 CW Started
402048,9.0394,36.868,Sire(Sibu Sire),Sire,Sire Ano,Nekemte,West,Blue spark Technology,Class D,Nekemte,Planned,FTK,Huawei,PH1,Additional Town,Sub Urban,,22219,,Oromia,East Wellega,Sibu Sire,,MS 9.6 CW Completed
402090,9.039283,36.882336,Sire(Sibu Sire),Bikila,Sire Ano,Nekemte,West,Blue spark Technology,Class D,Nekemte,Planned,FTK,Huawei,PH1,Additional Town,Sub Urban,,22219,,Oromia,East Wellega,Sibu Sire,,MS 9.6 CW Completed
143017,9.00076,38.66879,Addis Ababa,Addis Ababa,Kara 1,Addis Ababa WA2,West Addis,Modern Tech Technologies PLC,Class B,Addis Ababa WA2,Planned,FTK,Nokia,PH3,Large City,Urban,13094,5746361,1,Oromia,Finfine Special,Sebeta Hawas,Town,MS 1.1 SAR Visit Completed
147041,9.035443,38.877228,Addis Ababa,Addis Ababa,Ayat Tafo,Addis Ababa EA1,East Addis,Leapfrog Software Technology Africa PLC,Class C,Addis Ababa EA1,Planned,FTK,Nokia,PH0,,Sub Urban,,,,,,,,
144091,8.99954,38.83575,Addis Ababa,Addis Ababa,Goro Jacros,Addis Ababa EA3,East Addis,Blue spark Technology,Class B,Addis Ababa EA3,Planned,FTK_Relo,Nokia,PH0,Large City,Urban,9774,5746361,1,Addis Ababa,Lemi Kura,09,Town,MS 1.1 SAR Visit Completed
301049,12.76848,37.59302,,Amba Giorgis,Amba Giorgis,Gondar,North West,Vanguard Communication Main dealer,Class D,Gondar,Planned,Colo,Huawei,PH1,,Sub Urban,,,,,,,,MS 1.9.7.3 LLD Validated by Colo Partners
301063,13.133585,37.8930473,,Debark,Debark,Gondar,North West,Vanguard Communication Main dealer,Class D,Gondar,Planned,FTK,Huawei,PH0,,Sub Urban,,,,,,,,MS 9.6 CW Completed
301019,13.1454115,37.8999214,,Debark,Debark,Gondar,North West,Vanguard Communication Main dealer,Class D,Gondar,Planned,FTK,Huawei,PH0,,Sub Urban,,,,,,,,MS 4.3.3 Construction Permit Received
